,Date,Symbols,High,Low,Open,Close,Volume,Adj Close,Company_name
294,2015-09-11,brk-a,198329,196551,197850,198329,200,198329,Berkshire Hathaway Inc.
295,2015-09-14,brk-a,198515,197000,198329,197598,200,197598,Berkshire Hathaway Inc.
296,2015-09-15,brk-a,199998,197300,197598,199305,200,199305,Berkshire Hathaway Inc.
297,2015-09-16,brk-a,200499,199400,199620,199415,200,199415,Berkshire Hathaway Inc.
298,2015-09-17,brk-a,201330,198100,199415,198100,200,198100,Berkshire Hathaway Inc.
299,2015-09-18,brk-a,197483,192200,197150,192200,1000,192200,Berkshire Hathaway Inc.
300,2015-09-21,brk-a,197300,195000,195200,197022,700,197022,Berkshire Hathaway Inc.
301,2015-09-22,brk-a,195386,193750,195000,195386,300,195386,Berkshire Hathaway Inc.
302,2015-09-23,brk-a,195386,193601,195386,194479,200,194479,Berkshire Hathaway Inc.
303,2015-09-24,brk-a,194441,192600,193500,193800,200,193800,Berkshire Hathaway Inc.
304,2015-09-25,brk-a,196360,194110,195710,194620,200,194620,Berkshire Hathaway Inc.
305,2015-09-28,brk-a,194210,193170,193402,193305,200,193305,Berkshire Hathaway Inc.
306,2015-09-29,brk-a,193741,192000,193540,193621,200,193621,Berkshire Hathaway Inc.
307,2015-09-30,brk-a,195775,193130,194700,195240,300,195240,Berkshire Hathaway Inc.
308,2015-10-01,brk-a,199750,194600,196300,195739,200,195739,Berkshire Hathaway Inc.
309,2015-10-02,brk-a,195500,192200,194250,195500,300,195500,Berkshire Hathaway Inc.
310,2015-10-05,brk-a,198800,195940,196300,198561,300,198561,Berkshire Hathaway Inc.
311,2015-10-06,brk-a,198750,196610,198170,196720,200,196720,Berkshire Hathaway Inc.
312,2015-10-07,brk-a,200107,197760,198000,199000,300,199000,Berkshire Hathaway Inc.
313,2015-10-08,brk-a,201140,198500,199300,200616,200,200616,Berkshire Hathaway Inc.
314,2015-10-09,brk-a,201595,198420,200951,199650,100,199650,Berkshire Hathaway Inc.
315,2015-10-12,brk-a,201015,199440,199969,200000,100,200000,Berkshire Hathaway Inc.
316,2015-10-13,brk-a,200000,197890,199550,198578,200,198578,Berkshire Hathaway Inc.
317,2015-10-14,brk-a,198825,196676,198825,196899,200,196899,Berkshire Hathaway Inc.
318,2015-10-15,brk-a,200742,197385,198420,200499,300,200499,Berkshire Hathaway Inc.
319,2015-10-16,brk-a,202055,199500,201845,200469,200,200469,Berkshire Hathaway Inc.
320,2015-10-19,brk-a,200715,199773,200220,200695,200,200695,Berkshire Hathaway Inc.
321,2015-10-20,brk-a,201491,199700,200392,201480,100,201480,Berkshire Hathaway Inc.
322,2015-10-21,brk-a,203000,199725,202120,199900,200,199900,Berkshire Hathaway Inc.
323,2015-10-22,brk-a,206500,200720,200960,206020,600,206020,Berkshire Hathaway Inc.
324,2015-10-23,brk-a,207002,205241,207002,206584,300,206584,Berkshire Hathaway Inc.
325,2015-10-26,brk-a,206950,205080,206740,205380,200,205380,Berkshire Hathaway Inc.
326,2015-10-27,brk-a,205075,202700,205075,203280,200,203280,Berkshire Hathaway Inc.
327,2015-10-28,brk-a,207442,203280,203380,206940,300,206940,Berkshire Hathaway Inc.
328,2015-10-29,brk-a,207776,205960,206700,206817,200,206817,Berkshire Hathaway Inc.
329,2015-10-30,brk-a,206825,204195,206500,204596,200,204596,Berkshire Hathaway Inc.
330,2015-11-02,brk-a,207780,204620,205200,207745,200,207745,Berkshire Hathaway Inc.
331,2015-11-03,brk-a,207760,206655,207340,206704,200,206704,Berkshire Hathaway Inc.
332,2015-11-04,brk-a,206965,205769,206704,206120,200,206120,Berkshire Hathaway Inc.
333,2015-11-05,brk-a,207000,204550,206050,204694,300,204694,Berkshire Hathaway Inc.
334,2015-11-06,brk-a,205540,202767,205340,203100,500,203100,Berkshire Hathaway Inc.
335,2015-11-09,brk-a,203435,200120,203240,201000,400,201000,Berkshire Hathaway Inc.
336,2015-11-10,brk-a,201815,200500,201450,201754,100,201754,Berkshire Hathaway Inc.
337,2015-11-11,brk-a,202829,201375,202000,202355,100,202355,Berkshire Hathaway Inc.
338,2015-11-12,brk-a,201989,199240,201989,199371,200,199371,Berkshire Hathaway Inc.
339,2015-11-13,brk-a,200260,197760,199500,197825,100,197825,Berkshire Hathaway Inc.
340,2015-11-16,brk-a,199860,197280,197899,199800,400,199800,Berkshire Hathaway Inc.
341,2015-11-17,brk-a,200805,199120,200400,200045,400,200045,Berkshire Hathaway Inc.
342,2015-11-18,brk-a,204415,200100,200100,204280,300,204280,Berkshire Hathaway Inc.
343,2015-11-19,brk-a,205298,203530,204130,204901,300,204901,Berkshire Hathaway Inc.
344,2015-11-20,brk-a,206069,203989,205500,204600,200,204600,Berkshire Hathaway Inc.
345,2015-11-23,brk-a,205130,203779,204800,203779,100,203779,Berkshire Hathaway Inc.
346,2015-11-24,brk-a,203755,201253,203320,203360,200,203360,Berkshire Hathaway Inc.
347,2015-11-25,brk-a,203805,202285,203470,202285,200,202285,Berkshire Hathaway Inc.
348,2015-11-27,brk-a,203080,201624,203045,201624,100,201624,Berkshire Hathaway Inc.
349,2015-11-30,brk-a,202567,200794,202051,201360,200,201360,Berkshire Hathaway Inc.
350,2015-12-01,brk-a,204945,201850,201850,204945,300,204945,Berkshire Hathaway Inc.
351,2015-12-02,brk-a,205015,202683,204740,202930,200,202930,Berkshire Hathaway Inc.
352,2015-12-03,brk-a,202910,198540,202800,198801,300,198801,Berkshire Hathaway Inc.
353,2015-12-04,brk-a,204705,199800,199800,204500,500,204500,Berkshire Hathaway Inc.
354,2015-12-07,brk-a,204473,202060,204473,203500,200,203500,Berkshire Hathaway Inc.
355,2015-12-08,brk-a,202200,199900,202005,200105,300,200105,Berkshire Hathaway Inc.
356,2015-12-09,brk-a,201140,196850,199760,197660,400,197660,Berkshire Hathaway Inc.
357,2015-12-10,brk-a,198826,197000,197940,197505,400,197505,Berkshire Hathaway Inc.
358,2015-12-11,brk-a,196357,194500,195750,195757,300,195757,Berkshire Hathaway Inc.
359,2015-12-14,brk-a,198212,195270,195620,198040,400,198040,Berkshire Hathaway Inc.
360,2015-12-15,brk-a,203320,199400,199600,202440,500,202440,Berkshire Hathaway Inc.
361,2015-12-16,brk-a,204100,199939,203460,203800,600,203800,Berkshire Hathaway Inc.
362,2015-12-17,brk-a,204000,200920,203600,201000,200,201000,Berkshire Hathaway Inc.
363,2015-12-18,brk-a,199400,194720,199161,194720,600,194720,Berkshire Hathaway Inc.
364,2015-12-21,brk-a,197500,194500,196398,196801,400,196801,Berkshire Hathaway Inc.
365,2015-12-22,brk-a,199920,196680,197798,199680,500,199680,Berkshire Hathaway Inc.
366,2015-12-23,brk-a,203600,199860,200000,200000,500,200000,Berkshire Hathaway Inc.
367,2015-12-24,brk-a,201624,200225,201035,201137,100,201137,Berkshire Hathaway Inc.
368,2015-12-28,brk-a,200200,198800,200200,199876,300,199876,Berkshire Hathaway Inc.
369,2015-12-29,brk-a,201800,199480,200500,200050,400,200050,Berkshire Hathaway Inc.
370,2015-12-30,brk-a,201150,199740,200520,200081,300,200081,Berkshire Hathaway Inc.
371,2015-12-31,brk-a,200000,197800,199220,197800,300,197800,Berkshire Hathaway Inc.
372,2016-01-04,brk-a,196760,193300,195000,196295,800,196295,Berkshire Hathaway Inc.
373,2016-01-05,brk-a,197314,195000,196300,197000,500,197000,Berkshire Hathaway Inc.
374,2016-01-06,brk-a,197880,194701,195041,197415,600,197415,Berkshire Hathaway Inc.
375,2016-01-07,brk-a,196200,194000,194299,195580,1100,195580,Berkshire Hathaway Inc.
376,2016-01-08,brk-a,196000,193275,195650,193900,400,193900,Berkshire Hathaway Inc.
377,2016-01-11,brk-a,194810,191461,194140,193060,300,193060,Berkshire Hathaway Inc.
378,2016-01-12,brk-a,194740,191700,193900,194000,300,194000,Berkshire Hathaway Inc.
379,2016-01-13,brk-a,194339,189540,194100,190500,500,190500,Berkshire Hathaway Inc.
380,2016-01-14,brk-a,194000,189661,190150,192250,300,192250,Berkshire Hathaway Inc.
381,2016-01-15,brk-a,191200,187655,188520,190000,600,190000,Berkshire Hathaway Inc.
382,2016-01-19,brk-a,192938,191000,191005,191700,300,191700,Berkshire Hathaway Inc.
383,2016-01-20,brk-a,189959,187100,188620,188470,500,188470,Berkshire Hathaway Inc.
384,2016-01-21,brk-a,190750,187500,188501,189455,200,189455,Berkshire Hathaway Inc.
385,2016-01-22,brk-a,192260,189990,191901,191396,200,191396,Berkshire Hathaway Inc.
386,2016-01-25,brk-a,190000,186900,190000,187001,200,187001,Berkshire Hathaway Inc.
